Country/Region,Province/State,Lat,Long,Date,Cases,Deaths,Continent
Afghanistan,,33.0,65.0,1/22/20,0,0,Asia
Afghanistan,,33.0,65.0,1/23/20,0,0,Asia
Afghanistan,,33.0,65.0,1/24/20,0,0,Asia
Afghanistan,,33.0,65.0,1/25/20,0,0,Asia
Afghanistan,,33.0,65.0,1/26/20,0,0,Asia
Afghanistan,,33.0,65.0,1/27/20,0,0,Asia
Afghanistan,,33.0,65.0,1/28/20,0,0,Asia
Afghanistan,,33.0,65.0,1/29/20,0,0,Asia
Afghanistan,,33.0,65.0,1/30/20,0,0,Asia
Afghanistan,,33.0,65.0,1/31/20,0,0,Asia
Afghanistan,,33.0,65.0,2/1/20,0,0,Asia
Afghanistan,,33.0,65.0,2/2/20,0,0,Asia
Afghanistan,,33.0,65.0,2/3/20,0,0,Asia
Afghanistan,,33.0,65.0,2/4/20,0,0,Asia
Afghanistan,,33.0,65.0,2/5/20,0,0,Asia
Afghanistan,,33.0,65.0,2/6/20,0,0,Asia
Afghanistan,,33.0,65.0,2/7/20,0,0,Asia
Afghanistan,,33.0,65.0,2/8/20,0,0,Asia
Afghanistan,,33.0,65.0,2/9/20,0,0,Asia
Afghanistan,,33.0,65.0,2/10/20,0,0,Asia
Afghanistan,,33.0,65.0,2/11/20,0,0,Asia
Afghanistan,,33.0,65.0,2/12/20,0,0,Asia
Afghanistan,,33.0,65.0,2/13/20,0,0,Asia
Afghanistan,,33.0,65.0,2/14/20,0,0,Asia
Afghanistan,,33.0,65.0,2/15/20,0,0,Asia
Afghanistan,,33.0,65.0,2/16/20,0,0,Asia
Afghanistan,,33.0,65.0,2/17/20,0,0,Asia
Afghanistan,,33.0,65.0,2/18/20,0,0,Asia
Afghanistan,,33.0,65.0,2/19/20,0,0,Asia
Afghanistan,,33.0,65.0,2/20/20,0,0,Asia
Afghanistan,,33.0,65.0,2/21/20,0,0,Asia
Afghanistan,,33.0,65.0,2/22/20,0,0,Asia
Afghanistan,,33.0,65.0,2/23/20,0,0,Asia
Afghanistan,,33.0,65.0,2/24/20,1,0,Asia
Afghanistan,,33.0,65.0,2/25/20,1,0,Asia
Afghanistan,,33.0,65.0,2/26/20,1,0,Asia
Afghanistan,,33.0,65.0,2/27/20,1,0,Asia
Afghanistan,,33.0,65.0,2/28/20,1,0,Asia
Afghanistan,,33.0,65.0,2/29/20,1,0,Asia
Afghanistan,,33.0,65.0,3/1/20,1,0,Asia
Afghanistan,,33.0,65.0,3/2/20,1,0,Asia
Afghanistan,,33.0,65.0,3/3/20,1,0,Asia
Afghanistan,,33.0,65.0,3/4/20,1,0,Asia
Afghanistan,,33.0,65.0,3/5/20,1,0,Asia
Afghanistan,,33.0,65.0,3/6/20,1,0,Asia
Afghanistan,,33.0,65.0,3/7/20,1,0,Asia
Afghanistan,,33.0,65.0,3/8/20,4,0,Asia
Afghanistan,,33.0,65.0,3/9/20,4,0,Asia
Afghanistan,,33.0,65.0,3/10/20,5,0,Asia
Afghanistan,,33.0,65.0,3/11/20,7,0,Asia
Afghanistan,,33.0,65.0,3/12/20,7,0,Asia
Afghanistan,,33.0,65.0,3/13/20,7,0,Asia
Afghanistan,,33.0,65.0,3/14/20,11,0,Asia
Afghanistan,,33.0,65.0,3/15/20,16,0,Asia
Afghanistan,,33.0,65.0,3/16/20,21,1,Asia
Afghanistan,,33.0,65.0,3/17/20,22,1,Asia
Afghanistan,,33.0,65.0,3/18/20,22,1,Asia
Afghanistan,,33.0,65.0,3/19/20,22,1,Asia
Afghanistan,,33.0,65.0,3/20/20,24,1,Asia
Afghanistan,,33.0,65.0,3/21/20,24,1,Asia
Afghanistan,,33.0,65.0,3/22/20,40,1,Asia
Afghanistan,,33.0,65.0,3/23/20,40,1,Asia
Afghanistan,,33.0,65.0,3/24/20,74,1,Asia
Afghanistan,,33.0,65.0,3/25/20,84,2,Asia
Afghanistan,,33.0,65.0,3/26/20,94,2,Asia
Afghanistan,,33.0,65.0,3/27/20,110,2,Asia
Afghanistan,,33.0,65.0,3/28/20,110,2,Asia
Afghanistan,,33.0,65.0,3/29/20,120,2,Asia
Afghanistan,,33.0,65.0,3/30/20,170,2,Asia
Afghanistan,,33.0,65.0,3/31/20,174,5,Asia
Afghanistan,,33.0,65.0,4/1/20,237,5,Asia
Afghanistan,,33.0,65.0,4/2/20,273,10,Asia
Afghanistan,,33.0,65.0,4/3/20,281,10,Asia
Afghanistan,,33.0,65.0,4/4/20,299,10,Asia
Afghanistan,,33.0,65.0,4/5/20,349,15,Asia
Afghanistan,,33.0,65.0,4/6/20,367,18,Asia
Afghanistan,,33.0,65.0,4/7/20,423,18,Asia
Afghanistan,,33.0,65.0,4/8/20,444,29,Asia
Afghanistan,,33.0,65.0,4/9/20,484,32,Asia
Afghanistan,,33.0,65.0,4/10/20,521,32,Asia
Afghanistan,,33.0,65.0,4/11/20,555,32,Asia
Afghanistan,,33.0,65.0,4/12/20,607,32,Asia
Afghanistan,,33.0,65.0,4/13/20,665,32,Asia
Afghanistan,,33.0,65.0,4/14/20,714,40,Asia
Afghanistan,,33.0,65.0,4/15/20,784,43,Asia
Afghanistan,,33.0,65.0,4/16/20,840,54,Asia
Afghanistan,,33.0,65.0,4/17/20,906,99,Asia
Afghanistan,,33.0,65.0,4/18/20,933,112,Asia
Afghanistan,,33.0,65.0,4/19/20,996,131,Asia
Afghanistan,,33.0,65.0,4/20/20,1026,135,Asia
Afghanistan,,33.0,65.0,4/21/20,1092,150,Asia
Afghanistan,,33.0,65.0,4/22/20,1176,166,Asia
Afghanistan,,33.0,65.0,4/23/20,1279,179,Asia
Afghanistan,,33.0,65.0,4/24/20,1351,188,Asia
Afghanistan,,33.0,65.0,4/25/20,1463,188,Asia
Afghanistan,,33.0,65.0,4/26/20,1531,207,Asia
